text,meta_text,compiled,nomal
can you sell it to me for $5 ? ,init-price,5.0,5.0
"still , can i buy it for $5 ? i'm on a tight budge ",insist,5.0,5.0
i think the lowest i would want to go is 8 . ,counter-price,8.0,8.0
how about $6 and i pick it up myself ? it'll save you shipping to me . ,counter-price,6.0,6.0
"7 , and we have a deal . ",counter-price,7.0,7.0
would you accept 100 for the board ? ,init-price,100.0,100.0
if i picked it up at your location would you accpet 120 ? ,counter-price,120.0,120.0
make it 150 and we got a deal . ,counter-price,150.0,150.0
"i could do 145 , if you can gurantee the painting on the front of the board is not scratched up . ",counter-price,145.0,145.0
im on a budget so i could do 1850 ,init-price,1850.0,1850.0
how about $1900 and i'll wave the deposit . ,counter-price,1900.0,1900.0
i see the list price is 585 . i can give you 400 for it and can pick it up today . ,init-price,400.0,400.0
"well as i said it has nearly no wear and was in a non-smoking home , i can go as low as 480 on it ",counter-price,480.0,480.0
"hi , $15 sound good ? ",init-price,15.0,15.0
"alright , $14 ? ",counter-price,14.0,14.0
actually i was looking for something closer to $10 . ,counter-price,,10.0
how about you give it to me for 8000 ,init-price,8000.0,8000.0
i realy dont need it but i can pay you 8200 if you let it go ,counter-price,8200.0,8200.0
i can go down to 14k but i can't knock off 6k ,counter-price,14000.0,14.0
"oh man i cant afford that , i need to buy food for my pigs and farm and send my child to private school , can you do 13k ? ",counter-price,13000.0,13.0
"hello , i offer $500 for this studio . ",init-price,500.0,500.0
"hi , think i could get it for $20000 ? ",init-price,20000.0,20000.0
"okay , $22000 ? ",counter-price,22000.0,22000.0
$24000 is my final offer ,counter-price,24000.0,24000.0
sounds pretty nice . would you take $705 for it ? ,init-price,705.0,705.0
i mean it is still in it's original packaging and the warranty is included . i can do 760 . ,counter-price,760.0,7.6
warranty sounds useful with kids and a dog at home . how about $750 and we'll finish this deal now ? ,counter-price,750.0,750.0
would you take $50 ? ,init-price,50.0,50.0
how about 120 ,counter-price,120.0,120.0
well 90 is lowest i will go ,counter-price,90.0,90.0
could you do 75 cash ? that's all i've got right now ,counter-price,75.0,75.0
"i would like to offer you 65 . 00 , i know their worth and that seems of correct value to me . ",init-price,65.0,65.0
"this is true , there are larger ones for same price , so i feel my price is fair . i would also pick up the item at your convience . ",insist,,
that's interesting . i've seen ones my size sell for $85 in some places ! picking up the item is a good offer too ! ,counter-price,,85.0
"really ? i have seen them cheaper then that . how about i pick up the item anytime you are free , and i pay 69 for it ? ",counter-price,69.0,69.0
is it possible for you to come up to $71 ? ,counter-price,71.0,71.0
since i am picking it up i would like to stay at the 69 . ,insist,69.0,69.0
"i am sure i will , it seems great , i also think you will like not having to leave your home or go out of your way . i would love to buy it , i could even meet you in the middle at 70 . 00 . ",counter-price,70.0,70.0
great ! i have it listed for $220 but am willing to negotiate . ,init-price,220.0,220.0
would you take 120 ? ,counter-price,120.0,120.0
it's new so i think $150 is a good deal for both of us . ,counter-price,150.0,150.0
would you accept $132 if i pick it up at your location ? ,counter-price,132.0,132.0
the highest i can offer is around 100 dollars . is this too low ? ,init-price,100.0,100.0
"i just saw your ad , i'd be willing to offer $65 ",init-price,65.0,65.0
$65 ,insist,65.0,65.0
how about 67 ? ,counter-price,67.0,67.0
hi are you willing to go down to $2000 ? ,init-price,2000.0,2000.0
i'd like to get closer to my asking price . how about 2400 ? ,counter-price,2400.0,2400.0
i would be comfortable going $2300 . ,counter-price,2300.0,2300.0
"looks like this was made for me , i like the style . how doe $510 for it sound ? i would like to pay lower , but sense it's a classic and rare , i thought this would be a fair price . ",init-price,510.0,510.0
hmmm any chance you can go to $550 ? ,counter-price,550.0,550.0
i was looking for something in the 1500-1600 range ,init-price,,1500.0
"that is really unreasonable considering all the immenities and other going rates , you would need to come up to at least 3000 ",counter-price,3000.0,3000.0
it may be then . . . the absolute lowest i will go is 2700 . that is my final offer . ,counter-price,2700.0,2700.0
"ok , i think the most i could spend on this is 2000 - we are a ways apart ",counter-price,2000.0,2000.0
"i just saw your ad for the adapters , would you take $10 ? ",init-price,10.0,10.0
i can accept $15 ,counter-price,15.0,15.0
"i don't want to pay that much , i see there are a few adapters in there that are obsolete . wold you take $12 ? ",counter-price,12.0,12.0
the price is $55 ,init-price,55.0,55.0
i can pay $41 . ,counter-price,41.0,41.0
okay i can only afford $48 that's the last i can pay ,counter-price,48.0,
make it $50 and we have a deal . ,counter-price,50.0,50.0
125 a bit pricey ,init-price,,
"great ! would you take $10 , 000 ? ",init-price,10000.0,10000.0
we could meet in the middle and say 13 000 ? ,counter-price,13000.0,13000.0
"13 , 000 is fair , however i can only afford paying 12 , 500 ",counter-price,12500.0,12.5
sure . its definitely a great product . i would be willing to take $1800 ,counter-price,1800.0,1800.0
"i'm only asking $1400 , that is really cheap for the area ",init-price,1400.0,1400.0
but how about 1300 instead ? ,counter-price,1300.0,1300.0
