logp,category,role,tag,template,context_tag,context,id
-46.674886962262924,phone,seller,unknown,"it will work, i have never seen a {title} without a cigarette lighter port.",init-price,"hi, not sure if the {title} would work for my {title}. can you sell it to me for {price}?",0
-42.512954277827575,phone,buyer,insist,"still, can i buy it for {my_price}? i'm on a tight budge",unknown,"it will work, i have never seen a {title} without a cigarette lighter port.",1
-37.34938284248382,phone,seller,counter-price,i think the lowest i would want to go is {price}.,insist,"still, can i buy it for {partner_price}? i'm on a tight budge",2
-33.61491956526001,phone,buyer,counter-price,how about {price} and i pick it up myself? it'll save you shipping to me.,counter-price,i think the lowest i would want to go is {price}.,3
-21.976991564642123,phone,seller,counter-price,"{price}, and we have a deal.",counter-price,how about {price} and i pick it up myself? it'll save you shipping to me.,4
-15.32537573274934,phone,buyer,agree,"eh, fine. {partner_price}.",counter-price,"{price}, and we have a deal.",5
-3.443879347940896,phone,buyer,offer,<offer>,counter-price,"{price}, and we have a deal.",6
-3.568819410226794,phone,seller,accept,<accept>,offer,<offer>,7
-18.41135557429353,bike,buyer,intro,"hi, i am interested in your {title}!",<start>,<start>,8
-18.821098023980305,bike,seller,unknown,"hi, do you have any questions?",intro,"hi, i am interested in your {title}!",9
-34.758507446636685,bike,buyer,inquiry,do you know what wood it is made out of?,unknown,"hi, do you have any questions?",10
-39.870184645028004,bike,seller,disagree,i do not know specifically but the brand is a gravity skateboard.,inquiry,do you know what wood it is made out of?,11
-60.11684108620585,bike,buyer,init-price,"the wheels seem nice on it, but they could be a beter quality. would you accept {price} for the {title}?",disagree,i do not know specifically but the brand is a gravity skateboard.,12
-71.47815615836728,bike,seller,vague-price,"no, that offer is too low. the {title} is pretty much brand new as it's been ridden only 4 or 5 times. the bone bearings are brand new.",init-price,"the wheels seem nice on it, but they could be a beter quality. would you accept {price} for the {title}?",13
-40.56244135837689,bike,buyer,counter-price,if i picked it up at your location would you accpet {price}?,vague-price,"no, that offer is too low. the {title} is pretty much brand new as it's been ridden only 4 or 5 times. the bone bearings are brand new.",14
-23.044138415356944,bike,seller,counter-price,make it {price} and we got a deal.,counter-price,if i picked it up at your location would you accpet {price}?,15
-61.18186208337745,bike,buyer,counter-price,"i could do {price}, if you can gurantee the painting on the front of the {title} is not scratched up.",counter-price,make it {price} and we got a deal.,16
-8.406512495471448,bike,seller,agree,deal,counter-price,"i could do {price}, if you can gurantee the painting on the front of the {title} is not scratched up.",17
-7.165504395968894,bike,buyer,agree,great!,agree,deal,18
-3.443879347940896,bike,buyer,offer,<offer>,agree,deal,19
-3.568819410226794,bike,seller,accept,<accept>,offer,<offer>,20
-5.631888775249492,furniture,buyer,intro,hello,<start>,<start>,21
-5.352395946682806,furniture,seller,unknown,hi,intro,hello,22
-16.169521514441232,furniture,buyer,inquiry,how old is the {title}?,unknown,hi,23
-17.372818240714658,furniture,seller,inform,it is practically brand new,inquiry,how old is the {title}?,24
-103.85390534307523,furniture,buyer,init-price,"as you know, the value goes down as soon as the {title} goes out the door. i see the list price is {listing_price} i can give you {price} for it and can pick it up today.",inform,it is practically brand new,25
-75.15927962611745,furniture,seller,counter-price,"well as i said it has nearly no wear and was in a non-smoking home, i can go as low as {price} on it",init-price,"as you know, the value goes down as soon as the {title} goes out the door. i see the list price is {listing_price} i can give you {price} for it and can pick it up today.",26
-26.557396855283365,car,buyer,intro,man thats a nice trak,<start>,<start>,27
-18.269120052366034,car,seller,unknown,yes its really nice,intro,man thats a nice trak,28
-27.29989190390391,car,buyer,init-price,how about you give it to me for {price},unknown,yes its really nice,29
-19.4735452223065,car,seller,unknown,that is way too little,init-price,how about you give it to me for {price},30
-52.703839808733306,car,buyer,counter-price,i realy dont need it but i can pay you {price} if you let it go,unknown,that is way too little,31
-63.995306314831936,car,buyer,counter-price,"oh man i cant afford that, i need to buy food for my pigs and farm and send my child to private school, can you do {price}?",counter-price,i can go down to {price} but i can't knock off {price},32
-14.511733749166769,car,seller,agree,i will take {partner_price},counter-price,"oh man i cant afford that, i need to buy food for my pigs and farm and send my child to private school, can you do {price}?",33
-23.889251480372753,car,buyer,unknown,ok i can pick it up this weekend,agree,i will take {my_price},34
-3.443879347940896,car,buyer,offer,<offer>,agree,i will take {my_price},35
-9.467394737622145,car,seller,unknown,sounds good,offer,<offer>,36
-3.568819410226794,car,seller,accept,<accept>,offer,<offer>,37
-66.51806736373419,furniture,buyer,init-price,"hi, i'd love to have this sofa, but i just can't pay that much for a used one. would you take {price}?",<start>,<start>,38
-8.091322004228253,furniture,seller,counter-price,how about {price},init-price,"hi, i'd love to have this sofa, but i just can't pay that much for a used one. would you take {price}?",39
-86.96791213423566,furniture,buyer,disagree,i just can't go that high. i can't even see what it looks like under that blanket and you stated that you bought it used so idk were it's been,counter-price,how about {price},40
-28.947568243795367,furniture,seller,counter-price,well {price} is lowest i will go,disagree,i just can't go that high. i can't even see what it looks like under that blanket and you stated that you bought it used so idk were it's been,41
-31.87439243139667,furniture,buyer,counter-price,could you do {price} cash? that's all i've got right now,counter-price,well {price} is lowest i will go,42
-28.837577474472322,furniture,seller,unknown,"i appreciate the best offer, its a deal",counter-price,could you do {price} cash? that's all i've got right now,43
-3.443879347940896,furniture,seller,offer,<offer>,counter-price,could you do {price} cash? that's all i've got right now,44
-3.568819410226794,furniture,buyer,accept,<accept>,offer,<offer>,45
-31.73973980224138,electronics,buyer,intro,hi iam interested in your microsd card for sale,<start>,<start>,46
-22.680338084831178,electronics,seller,inquiry,good. what is your offer?,intro,hi iam interested in your microsd card for sale,47
-47.822098904971206,electronics,buyer,init-price,"i would like to offer you {price}, i know their worth and that seems of correct value to me.",inquiry,good. what is your offer?,48
